"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
19,2013,3,1,18,4,12,10,15,300,76,1.2,1024.4,-21.2,0,"ENE",1.4,"Huairou"
20,2013,3,1,19,9,18,24,22,500,68,0.8,1025.1,-20.9,0,"NNE",2.3,"Huairou"
21,2013,3,1,20,20,24,22,24,500,65,0.7,1026.2,-20.4,0,"NNE",4.4,"Huairou"
22,2013,3,1,21,23,29,27,16,400,71,-0.2,1027.3,-20,0,"NE",3.3,"Huairou"
23,2013,3,1,22,13,20,23,18,400,68,-1,1027.9,-19.6,0,"NE",3.7,"Huairou"
24,2013,3,1,23,13,24,50,23,400,61,-1.1,1027.4,-19.2,0,"NE",3.7,"Huairou"
25,2013,3,2,0,15,21,44,28,500,57,-1.8,1027.3,-19.3,0,"NE",4.8,"Huairou"
26,2013,3,2,1,9,16,28,17,400,67,-2.1,1027.9,-19.1,0,"ENE",2.6,"Huairou"
27,2013,3,2,2,11,13,40,16,300,67,-2.2,1027.4,-19.6,0,"NE",3.9,"Huairou"
28,2013,3,2,3,8,15,27,17,400,64,-2.3,1027.1,-19.3,0,"ENE",2.4,"Huairou"
29,2013,3,2,4,13,15,47,26,400,56,-3.4,1027.2,-18.1,0,"W",0.6,"Huairou"
30,2013,3,2,5,15,18,42.2688,26.4837,NA,56.1204,-4.2,1026.9,-16.4,0,"WNW",1.4,"Huairou"
31,2013,3,2,6,12,17,21,11,400,63,-4.5,1025.8,-16.4,0,"E",1.9,"Huairou"
32,2013,3,2,7,7,11,11,18,500,45,-4,1026.6,-14.2,0,"E",1.2,"Huairou"
33,2013,3,2,8,14,11,61,44,600,28,-2.6,1026.6,-16.7,0,"ENE",0.8,"Huairou"
34,2013,3,2,9,22,31,63,60,800,18,-1.2,1026.2,-16.2,0,"S",0.9,"Huairou"
35,2013,3,2,10,31,49,48,33,500,43,-0.1,1025.8,-16.9,0,"SSE",0.6,"Huairou"
36,2013,3,2,11,27,35,79,47,600,35,1.1,1025.5,-16.8,0,"WSW",1.8,"Huairou"
37,2013,3,2,12,36,50,73,50,700,38,2,1024.3,-18.1,0,"SW",1.2,"Huairou"
38,2013,3,2,13,31,47,41,39,500,48,2.2,1022.8,-17.9,0,"S",1.1,"Huairou"
39,2013,3,2,14,28,37,25,34,400,54,2.3,1022,-17.3,0,"SW",2.1,"Huairou"
40,2013,3,2,15,26,31,25,50,600,40,2.8,1021.3,-17.4,0,"SW",1.8,"Huairou"
41,2013,3,2,16,29,41,27,60,700,30,2.2,1020.7,-16.8,0,"SSW",1.4,"Huairou"
42,2013,3,2,17,36,52,44,81,800,16,1.2,1020.4,-15.8,0,"W",0.9,"Huairou"
43,2013,3,2,18,44,67,42,91,1000,5,0.1,1020.4,-15.5,0,"NW",1,"Huairou"
44,2013,3,2,19,53,70,36,100,1100,2,-1.3,1019.9,-12.6,0,"W",1,"Huairou"
45,2013,3,2,20,52,71,42,100,1800,2,-1.6,1019.7,-13.5,0,"W",1.1,"Huairou"
46,2013,3,2,21,97,103,34,88,1600,2,-1.8,1019.6,-12.5,0,"WNW",1.2,"Huairou"
47,2013,3,2,22,89,89,30,83,1600,2,-1.8,1019,-13.3,0,"WNW",0.7,"Huairou"
48,2013,3,2,23,80,83,30,77,1399,2,-2.8,1018.1,-10.1,0,"WNW",1.4,"Huairou"
49,2013,3,3,0,62,70,22,66,1300,2,-2.9,1017,-11.9,0,"WNW",0,"Huairou"
50,2013,3,3,1,51,63,20,52,1000,6,-3.8,1016.2,-12.7,0,"NE",0.9,"Huairou"
51,2013,3,3,2,42,49,18,48,900,7,-4.6,1015,-11.2,0,"N",0.8,"Huairou"
52,2013,3,3,3,40,45,19,52,1100,2,-5.5,1014.3,-11.2,0,"WNW",1.5,"Huairou"
53,2013,3,3,4,44,51,16,45,1000,6,-6.1,1013.7,-12,0,"WNW",1.3,"Huairou"
54,2013,3,3,5,45,49,12,45,1100,3,-6.9,1013.2,-12.6,0,"NNW",0.4,"Huairou"
55,2013,3,3,6,55,58,12,44,1100,3,-7.2,1013.1,-12.3,0,"NNE",0.8,"Huairou"
56,2013,3,3,7,47,57,12,43,1000,3,-5.6,1013.3,-11.3,0,"WNW",1.5,"Huairou"
57,2013,3,3,8,58,59,17,41,1100,8,-0.4,1012.8,-11.8,0,"N",0.5,"Huairou"
58,2013,3,3,9,64,68,83,55,1300,10,2.4,1012.5,-12.7,0,"ESE",2,"Huairou"
59,2013,3,3,10,77,97,133,74,1500,16,5.2,1011.7,-12.8,0,"NW",0.9,"Huairou"
60,2013,3,3,11,96,127,83,62,1200,33,7.6,1010.4,-12.8,0,"E",2.1,"Huairou"
61,2013,3,3,12,95,112,87,61,1200,43,10.1,1009.4,-12.5,0,"ESE",3,"Huairou"
62,2013,3,3,13,94,115,75,57,1100,52,11.5,1008.1,-12.8,0,"E",2.1,"Huairou"
63,2013,3,3,14,103,128,66,51,1000,55,13.2,1007.4,-12.9,0,"ESE",3,"Huairou"
64,2013,3,3,15,103,140,64,65,1000,54,15.3,1007.1,-14,0,"NW",4.4,"Huairou"
65,2013,3,3,16,98,151,63,63,900,54,15.1,1007.3,-14.2,0,"W",4.9,"Huairou"
66,2013,3,3,17,82,154,9,19,200,78,13.1,1007.9,-13.9,0,"N",1.9,"Huairou"
67,2013,3,3,18,22,70,5,14,200,77,8.8,1009.2,-12.4,0,"WNW",2.7,"Huairou"
68,2013,3,3,19,12,40,18,25,500,41,9.4,1010,-12.5,0,"WNW",3.1,"Huairou"
69,2013,3,3,20,18,60,12,29,500,40,7.3,1010.1,-12.5,0,"SSW",0.9,"Huairou"
70,2013,3,3,21,18,52,10,NA,300,52,4.7,1010.5,-12.3,0,"WSW",0,"Huairou"
71,2013,3,3,22,17,44,34,47,1200,4,3.3,1011.3,-10.7,0,"WNW",1.2,"Huairou"
72,2013,3,3,23,40,79,29,47,1000,19,9.9,1011.8,-13.4,0,"WNW",2.6,"Huairou"
73,2013,3,4,0,38,68,27,34,700,33,7.2,1012.8,-13.1,0,"E",0.7,"Huairou"
74,2013,3,4,1,28,51,11,6,100,75,5.9,1013.7,-13.2,0,"SW",1.6,"Huairou"
75,2013,3,4,2,9,24,16,10,100,74,4.7,1013.9,-13.2,0,"NW",5.3,"Huairou"
76,2013,3,4,3,13,26,13,8,200,73,7.2,1014,-15.6,0,"NNW",3.5,"Huairou"
77,2013,3,4,4,6,14,21,12,100,74,4,1014,-14.3,0,"SSE",1.4,"Huairou"
78,2013,3,4,5,8,26,29,31,400,43,1.8,1014.7,-13.2,0,"SW",2,"Huairou"
79,2013,3,4,6,14,30,31,38,500,35,0,1016,-13.3,0,"SSW",0.2,"Huairou"
80,2013,3,4,7,13,38,40,55,600,16,2.4,1017,-11.9,0,"E",0.5,"Huairou"
81,2013,3,4,8,14,42,60,92,3299,2,7.1,1017.6,-12.2,0,"SE",1.7,"Huairou"
82,2013,3,4,9,47,117,64,49,500,38,8.6,1017.8,-13.8,0,"SE",1.9,"Huairou"
83,2013,3,4,10,26,48,34,22,200,66,10.1,1017.2,-13.9,0,"E",2.2,"Huairou"
84,2013,3,4,11,15,29,31,23,200,69,11.4,1016.8,-14.4,0,"ESE",2.9,"Huairou"
85,2013,3,4,12,17,28,21,20,200,75,12.5,1015.7,-14.3,0,"ENE",3.5,"Huairou"
86,2013,3,4,13,21,29,13,15,200,84,12.9,1014.5,-14,0,"E",2.6,"Huairou"
87,2013,3,4,14,16,21,13,14,100,88,13.7,1013.5,-14.3,0,"E",1.9,"Huairou"
88,2013,3,4,15,15,19,15,16,100,90,13.9,1012.9,-14.1,0,"SSE",1.6,"Huairou"
89,2013,3,4,16,16,24,14,14,100,91,13.3,1012.3,-14.6,0,"ENE",1.5,"Huairou"
90,2013,3,4,17,20,27,23,26,200,81,11.2,1012.5,-13.8,0,"N",2,"Huairou"
91,2013,3,4,18,27,36,24,34,300,72,7.8,1013.2,-11.6,0,"NW",1.1,"Huairou"
92,2013,3,4,19,NA,53,23,79,700,18,5.6,1013.5,-12,0,"W",1.6,"Huairou"
93,2013,3,4,20,NA,92,30,90,1000,8,3.5,1013.7,-11.7,0,"NW",1.6,"Huairou"
94,2013,3,4,21,NA,100,24,54,1000,25,2.3,1013.7,-10.3,0,"NW",1,"Huairou"
95,2013,3,4,22,NA,85,22,54,900,21,2.1,1013.6,-10.8,0,"WNW",2.2,"Huairou"
96,2013,3,4,23,NA,74,18,47,900,91,1.4,1013.1,-10.8,0,"N",0.8,"Huairou"
97,2013,3,5,0,NA,70,16,39,700,91,1.2,1012.5,-10.6,0,"NW",1.3,"Huairou"
98,2013,3,5,1,NA,57,16,31,600,91,0.8,1012,-10.7,0,"NW",1.3,"Huairou"
99,2013,3,5,2,NA,51,NA,27,600,91,0.3,1011.6,-10.3,0,"WNW",2.3,"Huairou"
100,2013,3,5,3,NA,51,13,28,NA,91,-0.1,1011.1,-10.4,0,"WNW",1.6,"Huairou"
101,2013,3,5,4,NA,51,14,NA,800,91,-0.9,1010.9,-9.8,0,"WNW",2,"Huairou"
102,2013,3,5,5,NA,53,13,28,800,91,-0.9,1010.6,-9.8,0,"WNW",1.4,"Huairou"
103,2013,3,5,6,NA,58,15,28,800,91,-1.5,1010.7,-9.4,0,"WNW",1.8,"Huairou"
104,2013,3,5,7,NA,58,14,36,900,91,0.4,1010.5,-8.8,0,"W",0.4,"Huairou"
105,2013,3,5,8,NA,62,20,44,1000,91,5,1010.4,-8.5,0,"ENE",0.6,"Huairou"
106,2013,3,5,9,NA,69,39,39,1200,91,7.8,1009.9,-9.2,0,"S",1.1,"Huairou"
107,2013,3,5,10,NA,98,84,62,1600,91,8.8,1009,-8.7,0,"SE",1.6,"Huairou"
108,2013,3,5,11,NA,122,101,75,1700,91,9.9,1007.8,-8.7,0,"SE",1.5,"Huairou"
109,2013,3,5,12,NA,135,105,77,1600,42,12,1006.5,-8.5,0,"SSE",2.1,"Huairou"
110,2013,3,5,13,NA,142,90,80,1500,91,13.1,1005.2,-9.4,0,"SSW",1.2,"Huairou"
111,2013,3,5,14,NA,146,84,83,NA,91,14.3,1004.5,-8.4,0,"ESE",1.7,"Huairou"
112,2013,3,5,15,NA,136,75,75,1100,91,14.1,1004.2,-7.9,0,"SSE",2.2,"Huairou"
113,2013,3,5,16,NA,136,77,82,1100,88,13,1004.2,-8.3,0,"SSW",1.1,"Huairou"
114,2013,3,5,17,3,158,80,79,1200,88,11.5,1004.6,-7.9,0,"SSW",0.2,"Huairou"
115,2013,3,5,18,3,184,82,83,1600,88,7.9,1005.1,-7.4,0,"WNW",1.6,"Huairou"
116,2013,3,5,19,3,233,61,150,2299,88,6.2,1005.5,-7.4,0,"WNW",2.2,"Huairou"
117,2013,3,5,20,189,243,54,124,2500,88,5,1005.9,-6.9,0,"SE",0.6,"Huairou"
118,2013,3,5,21,200,233,54,123,2200,88,3.4,1006,-7.1,0,"NNE",0.6,"Huairou"
119,2013,3,5,22,182,203,47,92,1899,88,3.1,1005.7,-6.6,0,"NE",0.8,"Huairou"
120,2013,3,5,23,163,163,42,90,1899,88,2,1005.7,-6.8,0,"SSE",0.6,"Huairou"
121,2013,3,6,0,156,159,38,67,1700,88,1.1,1005.5,-6.5,0,"NNE",0.5,"Huairou"
122,2013,3,6,1,142,142,34,58,1500,88,0.6,1005.5,-6.5,0,"WNW",1.9,"Huairou"
123,2013,3,6,2,154,132,29,63,1700,88,0.2,1004.7,-6.2,0,"NW",1,"Huairou"
124,2013,3,6,3,134,136,25,51,1600,88,0,1004.7,-6.2,0,"NE",0.7,"Huairou"
125,2013,3,6,4,154,128,21,51,1600,88,0,1004.7,-6.2,0,"NNW",0.9,"Huairou"
126,2013,3,6,5,135,138,21,57,1600,88,0.4,1005.3,-6.3,0,"NW",1.6,"Huairou"
127,2013,3,6,6,132,143,31,76,1800,88,0.7,1005.6,-6,0,"NW",1.7,"Huairou"
128,2013,3,6,7,130,143,31,79,1800,88,1.6,1006.3,-5.3,0,"WNW",1.2,"Huairou"
129,2013,3,6,8,134,150,51,84,1899,88,3.3,1006.3,-4,0,"SW",0.4,"Huairou"
130,2013,3,6,9,142,160,70,91,2100,88,5.5,1006.1,-4.7,0,"ESE",1,"Huairou"
131,2013,3,6,10,175,182,83,91,2100,88,7.9,1005.9,-5.2,0,"NNW",0.4,"Huairou"
132,2013,3,6,11,188,192,103,91,1800,88,8.8,1005,-5.8,0,"NE",0.9,"Huairou"
133,2013,3,6,12,175,185,113,91,1700,88,9.7,1003.8,-6.2,0,"ENE",1.8,"Huairou"
134,2013,3,6,13,170,178,89,80,1600,88,11.2,1002.7,-6.2,0,"E",1.7,"Huairou"
135,2013,3,6,14,121,159,96,71,1399,88,12.8,1002.2,-6.3,0,"E",3,"Huairou"
136,2013,3,6,15,140,141,112,66,1399,84,13.5,1002.3,-6.2,0,"ENE",1.9,"Huairou"
137,2013,3,6,16,150,156,127,62,1399,70,13.6,1002.2,-6.1,0,"E",0.7,"Huairou"
138,2013,3,6,17,149,170,118,83,1500,65,11.2,1002.8,-5.8,0,"N",0.5,"Huairou"
139,2013,3,6,18,177,252,90,96,1700,65,7.8,1003.6,-4.7,0,"SW",1.2,"Huairou"
140,2013,3,6,19,173,316,61,117,2200,65,7.1,1004.2,-5.3,0,"NE",1.5,"Huairou"
141,2013,3,6,20,192,340,67,144,4299,65,5.2,1004.7,-4.9,0,"N",0.9,"Huairou"
142,2013,3,6,21,267,354,66,150,4400,65,3.9,1004.5,-4.8,0,"WNW",0.5,"Huairou"
143,2013,3,6,22,288,354,54,132,3500,65,2.3,1004.6,-4.5,0,"WNW",1.5,"Huairou"
144,2013,3,6,23,245,279,49,127,4000,65,2.8,1004.2,-4.4,0,"WNW",2.3,"Huairou"
145,2013,3,7,0,240,276,44,116,3500,65,1.8,1004.1,-4.5,0,"WNW",1.2,"Huairou"
146,2013,3,7,1,231,239,33,101,2600,65,0.6,1004.6,-4.6,0,"NNW",1.7,"Huairou"
147,2013,3,7,2,174,197,32,104,3200,65,0.7,1003.8,-4.2,0,"N",1.3,"Huairou"
148,2013,3,7,3,203,205,34,101,2399,65,-0.2,1003.6,-4.3,0,"NW",0.8,"Huairou"
149,2013,3,7,4,142,173,32,98,2399,65,-0.8,1003.6,-4.7,0,"SE",0.5,"Huairou"
150,2013,3,7,5,165,184,20,88,2299,65,-1.6,1003.8,-4.8,0,"WNW",1.1,"Huairou"
151,2013,3,7,6,151,161,16,85,2399,65,-1.6,1003.5,-4.9,0,"S",0.7,"Huairou"
152,2013,3,7,7,142,165,23,84,2100,65,1.9,1003.8,-3.8,0,"SE",0.8,"Huairou"
153,2013,3,7,8,126,135,38,85,2200,65,5.9,1003.6,-3.2,0,"ESE",0.9,"Huairou"
154,2013,3,7,9,128,139,89,100,1899,65,8.6,1003.2,-3.6,0,"SSE",1.1,"Huairou"
155,2013,3,7,10,144,171,126,78,1200,65,11.1,1002.4,-3.8,0,"WSW",1.3,"Huairou"
156,2013,3,7,11,116,138,128,87,1399,65,13.7,1000.8,-3.6,0,"S",1.4,"Huairou"
157,2013,3,7,12,122,169,144,113,1800,65,15.9,998.5,-5.2,0,"ESE",1.9,"Huairou"
158,2013,3,7,13,181,222,104,95,1600,65,17.6,996.9,-5,0,"S",1.3,"Huairou"
159,2013,3,7,14,135,166,83,87,1300,68,16.6,995.8,-4.6,0,"SSW",2.1,"Huairou"
160,2013,3,7,15,144,181,81,118,1800,68,16.5,995,-3.6,0,"SW",0.7,"Huairou"
161,2013,3,7,16,190,336,100,163,2600,68,15.6,994.4,-3.4,0,"WNW",1.1,"Huairou"
162,2013,3,7,17,290,553,75,177,2700,68,13.1,994.1,-3.7,0,"WNW",2.7,"Huairou"
163,2013,3,7,18,350,NA,67,199,3000,68,11,994.8,-3.5,0,"WSW",1,"Huairou"
164,2013,3,7,19,363,NA,57,198,3500,4,8.8,994.7,-3.4,0,"WNW",2,"Huairou"
165,2013,3,7,20,354,545,55,205,4400,68,8.6,994.7,-3.6,0,"W",2.3,"Huairou"
166,2013,3,7,21,371,418,56,169,3500,68,7.3,995.3,-3,0,"ESE",1.6,"Huairou"
167,2013,3,7,22,264,318,52,124,2399,68,5.9,995.2,-3.5,0,"NW",1.6,"Huairou"
168,2013,3,7,23,228,229,47,145,3000,68,6.1,995.4,-3.3,0,"N",0.9,"Huairou"
169,2013,3,8,0,223,252,40,113,2700,68,5.3,995.1,-3.3,0,"WNW",2.4,"Huairou"
170,2013,3,8,1,221,230,43,118,2700,68,4.7,995.2,-3.1,0,"E",1.2,"Huairou"
171,2013,3,8,2,208,234,32,78,2100,68,2.6,995.1,-3.3,0,"W",1.8,"Huairou"
172,2013,3,8,3,195,206,28,84,2399,68,2,995,-3.5,0,"WNW",1.3,"Huairou"
173,2013,3,8,4,173,193,24,66,1899,68,1.9,995.4,-3.8,0,"W",1.2,"Huairou"
174,2013,3,8,5,174,180,24,78,2000,68,1.2,996.4,-4.1,0,"ESE",1.4,"Huairou"
175,2013,3,8,6,211,235,34,92,2100,68,1.2,996.9,-4.3,0,"WSW",0.4,"Huairou"
176,2013,3,8,7,197,213,44,99,2399,68,3.9,997.5,-3.4,0,"NNE",2.9,"Huairou"
177,2013,3,8,8,227,232,61,102,2799,68,10.3,997.9,-3.4,0,"W",0.7,"Huairou"
178,2013,3,8,9,240,246,112,98,2200,68,14.6,997.8,-4.7,0,"E",1.3,"Huairou"
179,2013,3,8,10,173,193,105.3864,79.4511,NA,68,17.8,997.6,-3.6,0,"SSE",2.8,"Huairou"
180,2013,3,8,11,112,122,66,58,1000,68,19.4,997,-3.5,0,"S",2.2,"Huairou"
181,2013,3,8,12,114,148,57,61,1000,76,20.3,996.5,-3.4,0,"SE",2.4,"Huairou"
182,2013,3,8,13,139,173,48,66,1200,97,16.5,996.2,1.7,0,"SE",5.2,"Huairou"
183,2013,3,8,14,534,835,114,184,7299,107,14.8,996.5,-0.1,0,"SSE",3.9,"Huairou"
184,2013,3,8,15,510,624,159,158,8000,107,13.8,996.8,-0.7,0,"SE",3.9,"Huairou"
185,2013,3,8,16,212,246,112,90,2299,107,12.3,997,-0.9,0,"S",2.9,"Huairou"
186,2013,3,8,17,165,202,74,74,1399,107,11,997.1,-1.8,0,"SSE",4.6,"Huairou"
187,2013,3,8,18,136,145,52,66,1100,107,9.4,997.5,-1.7,0,"WSW",1.3,"Huairou"
188,2013,3,8,19,112,135,40,71,1000,107,7.8,997.3,-2,0,"WNW",2.4,"Huairou"
189,2013,3,8,20,110,129,36,74,1200,107,6.4,997.4,-2.5,0,"SW",1.5,"Huairou"
190,2013,3,8,21,99,139,33,82,1399,107,5.2,997,-2.6,0,"WNW",1.8,"Huairou"
191,2013,3,8,22,94,135,38,75,1399,107,4.7,996,-3.6,0,"W",3,"Huairou"
192,2013,3,8,23,98,127,29,65,1399,107,4.5,994.2,-4.5,0,"W",3.1,"Huairou"
193,2013,3,9,0,88,97,29,55,1300,107,4.7,992.6,-4.6,0,"W",3.1,"Huairou"
194,2013,3,9,1,78,79,24,42,1200,107,3.6,991.5,-4.1,0,"SSW",1.2,"Huairou"
195,2013,3,9,2,51,72,NA,31,1000,107,2.6,990.7,-4,0,"SW",1.9,"Huairou"
196,2013,3,9,3,78,81,25,31,NA,107,2.5,989.6,-4.1,0,"W",1.9,"Huairou"
197,2013,3,9,4,77,80,23,NA,1000,107,1.6,988.5,-4.3,0,"ESE",1.4,"Huairou"
198,2013,3,9,5,80,84,22,27,1100,107,0.4,989.1,-4.3,0,"NW",0.8,"Huairou"
199,2013,3,9,6,96,122,24,71,1700,107,0.3,989.3,-4,0,"WNW",1.5,"Huairou"
200,2013,3,9,7,116,151,39,92,2100,107,2.2,990.3,-3.1,0,"W",1.2,"Huairou"
201,2013,3,9,8,118,163,50,87,2200,107,7.1,991.6,-3.8,0,"NE",3.3,"Huairou"
202,2013,3,9,9,125,182,78,81,2000,107,15.7,993,-2.8,0,"NW",4.2,"Huairou"
203,2013,3,9,10,126,213,133,64,1500,107,16.6,996,-9.4,0,"WNW",7.8,"Huairou"
204,2013,3,9,11,50,349,51,26,400,107,13.4,998.8,-12,0,"N",9.6,"Huairou"
205,2013,3,9,12,18,308,10,12,200,107,10.1,1001.2,-17.2,0,"NNE",12.9,"Huairou"
206,2013,3,9,13,21,251,6,9,100,107,9.1,1003.5,-19.9,0,"NW",10.1,"Huairou"
207,2013,3,9,14,27,490,4,7,200,99,9,1005,-20,0,"N",6.1,"Huairou"
208,2013,3,9,15,12,208,5,7,200,99,9.6,1006.5,-19.5,0,"NNW",9,"Huairou"
209,2013,3,9,16,10,105,6,7,200,99,9.7,1007.4,-20.5,0,"NNW",2.8,"Huairou"
210,2013,3,9,17,12,81,12,8,200,95,8.3,1009.7,-19.5,0,"WNW",3.5,"Huairou"
211,2013,3,9,18,7,42,8,9,200,95,6.9,1012.4,-18.8,0,"NNW",2.4,"Huairou"
212,2013,3,9,19,6,44,9,13,300,95,6,1014.5,-19.6,0,"N",4.5,"Huairou"
213,2013,3,9,20,12,51,20,21,300,95,4.2,1016.4,-18.1,0,"NNE",2.6,"Huairou"
214,2013,3,9,21,16,67,47,28,400,95,3.1,1017.8,-17.7,0,"NW",0.7,"Huairou"
215,2013,3,9,22,11,67,29,21,300,95,2,1017.8,-17.5,0,"N",1.8,"Huairou"
216,2013,3,9,23,16,39,26,20,400,95,0,1018,-16.8,0,"SW",1,"Huairou"
217,2013,3,10,0,11,33,17,18,300,95,-0.9,1018,-15.9,0,"NNE",1.5,"Huairou"
218,2013,3,10,1,22,42,27,24,600,95,-1,1017.8,-15.6,0,"ENE",1.4,"Huairou"
219,2013,3,10,2,30,39,28,33,800,95,-2.5,1017.9,-14.6,0,"NW",0.6,"Huairou"
220,2013,3,10,3,24,34,24,28,500,95,-3.7,1018.2,-13.9,0,"WNW",1.5,"Huairou"
221,2013,3,10,4,16,24,19,24,600,95,-3.8,1018.8,-14,0,"W",0.9,"Huairou"
222,2013,3,10,5,12,31,16,24,500,95,-4.5,1018.8,-13.4,0,"NW",0.5,"Huairou"
223,2013,3,10,6,24,47,13,36,800,95,-4.8,1019.2,-12.5,0,"SW",0.7,"Huairou"
224,2013,3,10,7,22,36,15,52,1200,95,-0.6,1020,-12.6,0,"ESE",1,"Huairou"
225,2013,3,10,8,30,52,45,57,800,95,3,1020.2,-13.8,0,"E",1.8,"Huairou"
226,2013,3,10,9,57,84,86,63,900,95,4.9,1019.9,-13,0,"ESE",1.7,"Huairou"
227,2013,3,10,10,71,94,79,59,1000,95,8.2,1019.1,-13.5,0,"SSE",1.5,"Huairou"
228,2013,3,10,11,66,105,53,61,900,95,10.1,1018.3,-17.2,0,"SSW",2.6,"Huairou"
229,2013,3,10,12,49,58,34,52,700,95,11.2,1017.4,-16.3,0,"S",2.9,"Huairou"
230,2013,3,10,13,27,44,26,38,600,95,11.7,1016.3,-15.9,0,"SSW",2.1,"Huairou"
231,2013,3,10,14,33,44,24,32,600,92,12.6,1015.3,-17.2,0,"SSE",3.8,"Huairou"
232,2013,3,10,15,40,42,24,30,500,92,12.2,1014.9,-16.4,0,"SSW",2.9,"Huairou"
233,2013,3,10,16,34,51,21,32,500,91,10.8,1014.8,-15.7,0,"S",4.1,"Huairou"
234,2013,3,10,17,34,88,26,40,500,89,8.9,1014.9,-14.9,0,"SSW",2.2,"Huairou"
235,2013,3,10,18,45,112,25,44,400,84,7.7,1015.5,-13.9,0,"SW",1.8,"Huairou"
236,2013,3,10,19,49,102,38,52,600,79,4.9,1016,-12.6,0,"WNW",1,"Huairou"
237,2013,3,10,20,73,118,42,71,900,79,2.5,1016.2,-12.2,0,"WNW",1.5,"Huairou"
238,2013,3,10,21,101,142,39,104,1500,79,1.6,1016.3,-12.2,0,"NW",1.3,"Huairou"
239,2013,3,10,22,88,122,27,76,1300,79,0.7,1016,-11.4,0,"NNW",1.2,"Huairou"
240,2013,3,10,23,89,110,26,68,1300,79,0.4,1016,-10.7,0,"WNW",1.3,"Huairou"
241,2013,3,11,0,95,111,22,59,1300,79,-0.4,1015.5,-10.1,0,"WNW",1.5,"Huairou"
242,2013,3,11,1,78,85,18,42,1000,79,-0.5,1015.3,-10.4,0,"WNW",1.1,"Huairou"
243,2013,3,11,2,69,77,17,35,800,79,-1.1,1014.6,-10.2,0,"W",1.4,"Huairou"
244,2013,3,11,3,70,72,15,33,800,79,-1.6,1014.2,-9.9,0,"NW",1.6,"Huairou"
245,2013,3,11,4,66,72,14,31,700,79,-2,1014,-10.1,0,"WNW",2,"Huairou"
246,2013,3,11,5,70,75,11,32,800,79,-2,1014,-10.1,0,"WNW",2,"Huairou"
247,2013,3,11,6,73,82,10,36,800,79,-2.6,1014.1,-9.5,0,"NW",1.5,"Huairou"
248,2013,3,11,7,73,83,11,42,800,79,-0.9,1014.6,-8.1,0,"W",1,"Huairou"
249,2013,3,11,8,94,106,16,50,1100,79,3.9,1014.3,-9.5,0,"ESE",1,"Huairou"
250,2013,3,11,9,99,140,30,50,1100,79,5.9,1013.8,-9.6,0,"E",1.8,"Huairou"
251,2013,3,11,10,118,136,91,68,1399,79,6.9,1013.2,-9.5,0,"E",2.4,"Huairou"
252,2013,3,11,11,119,135,113,66,1300,79,8.4,1012,-9.6,0,"SE",2.4,"Huairou"
253,2013,3,11,12,128,133,122,67,1200,79,9.1,1010.6,-9.4,0,"NE",1.4,"Huairou"
254,2013,3,11,13,123,131,144,72,1200,79,10,1009.4,-9.2,0,"SE",1.6,"Huairou"
255,2013,3,11,14,130,141,160,82,1300,79,10.6,1008.2,-9.2,0,"S",1.6,"Huairou"
